ID	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	EVENT_VALIDITY	CAUSE_CODE	FOCAL_DEPTH	PRIMARY_MAGNITUDE	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	MAXIMUM_WATER_HEIGHT	ABE	IIDA	SOLOVIEV	WARNING_STATUS	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
1219	1895	3	6	8	35		4	1		7.5	PAPUA NEW GUINEA		W. SOLOMON SEA	-8.5	151	82	6		2.6	2			2						2		2				2						2		2		
1221	1895	3	9				2	8			USA	CA	S. CALIFORNIA			88																													
1224	1895	5	25				1	1			JAPAN		W. KYUSHU ISLAND	33	130	85				.5																									
3536	1895	7	8	21	30		2	1	30	8.2	TURKMENISTAN		CASPIAN SEA	39.5	53.7	40													1		1										3		3		
1228	1895	7					1	8			USA	CA	S. CALIFORNIA			88																													
5512	1895	8	18	6	57			3	12	6	NEW ZEALAND		LAKE TAUPO, NORTH ISLAND	-38.8	176	81																													
2452	1895	9	1	11	9		3	1		4.3	USA	NJ	HIGH BRIDGE, NJ	40.667	-74.883	75								1	1																				
1229	1895	10	14				-1	9			USA	CA	N. CALIFORNIA			88																													
2453	1895	10	31	11	8		0	1		6.7	USA	MO	CHARLESTON, MO	37	-89.4	75								1	1																				
3408	1895	11	1				1	1			ITALY		TYRRHENIAN SEA	41.7	12.2	50				3																									
1231	1896	1	9				4	1		7.6	JAPAN		KASHIMA, JAPAN	36.5	141	85	.25			-2.5																									
1234	1896	6	15	10	33		4	1		8.3	JAPAN		SANRIKU	39.5	144	85	38.2		5.2	3.8		27122	4	9247	4				4	11000	4			27122	4			13247	4		4	11000	4		
1235	1896	10	10				2	1		6.8	INDONESIA		SW. SUMATRA	-3.5	102.5	60				0																					1				1
3409	1896	10	16	6	15		1	1			ITALY		LIGURIAN SEA	43.7	8.1	50				2																									
3497	1896	11	5	2	50		3	1			GREECE		IONIAN SEA			50																													
1236	1896	12	17				-1	9			USA	CA	SANTA BARBARA, CA			88	2.5		1.3	1.5																									
1230	1896						4	1			ICELAND		ICELAND			73																													
1237	1897	2	19	20	50		4	1	33	7.4	JAPAN		SANRIKU	38.1	141.9	85	1																								2		3		
1238	1897	3	15				2	1	15	5.5	INDONESIA		FLORES SEA	-6.8	120.8	60				1																									
1239	1897	4	17				2	8			USA	AK	GULF OF ALASKA, AK			87													1												1				
5262	1897	6	12	11	6		0	1		8.7	INDIA		ASSAM	26	91	60																		1542	4						4		4		
1240	1897	6	20				2	1		7	MEXICO		S. MEXICO	16	-95	88																									2		2		
1241	1897	8	5	0	10	0	4	1		7.7	JAPAN		SANRIKU	38	143.7	85	3		1.5	1									1												1				
5455	1897	9	20	19	6		1	1	33	8.6	PHILIPPINES		SULU SEA	6	122	84	2			1																					1				1
1244	1897	9	21	5	12		4	1	33	8.7	PHILIPPINES		SULU SEA	6	122	84	7		2.6	2.5		13	1	14	1				1	33	1			13	1			14	1		3		3		
1243	1897	9	21	7	14		1	1			NEW ZEALAND		WELLINGTON	-41.3	174.8	81	1																												
5456	1897	10	18	23	48		3	1	33	8.1	PHILIPPINES		SAMAR ISLAND	12	126	84				1.5			1						1						1						2	17	1		
1247	1897	12					1	1			GREECE		IONIAN ISLANDS			50																													
1248	1898	3	31	7	43		1	9		6.2	USA	CA	OAKLAND, N. CALIFORNIA	38.2	-122.4	88	.31		2	2																									
1249	1898	4	22	23	37		4	1		7.2	JAPAN		HONSHU ISLAND	38.6	142	85	.1			-3																		2	1		3		3		
3498	1898	6	2	21	40		3	1		7	GREECE		PELOPONNESUS, GREECE	37.6	22.5	50																													
1250	1898	7	23	2	17		1	1		6.5	CHILE		CENTRAL CHILE	-36.83	-73.03	89																		6	1						2		2		
1251	1898	12	3	5	50		2	1			GREECE		IONIAN ISLANDS	37.75	21	50				3																					1		1		
1255	1899	1	15				3	1			PAPUA NEW GUINEA		EAST COAST, NEW IRELAND	-3	152	82				1.5			3						2		3				3						2		3		
1254	1899	1	22	7	56		2	1		6.6	GREECE		MESSENIA	37.25	21.75	50				3																									
4862	1899	1	29				1	1			AUSTRALIA		NORTHERN AUSTRALIA	-12.4	130.7	60	1.8																												
1256	1899	2	3				1	0			PORTUGAL		AZORES	38.7	-28.2	73						1	1						2					1	1						2				
1257	1899	8	8				1	0			CHILE		CENTRAL CHILE	-33	-71.5	89													3												3				
1258	1899	9	4	0	22		4	1		8.2	USA	AK	CAPE YAKATAGA, AK	60	-142	87	3.1			0									1												1				
1260	1899	9	10	21	41		4	3	25	8.2	USA	AK	YAKUTAT BAY, AK	60	-140	87	60.96		5.9	3									3												3				
1266	1899	9	29	17	3		4	3		7.8	INDONESIA		BANDA SEA	-3	128.5	83	12		3.6	3		2460	4	300	3				3					2460	4			300	3		3				
5421	1899	10	7				2	0			JAPAN		TAGONOURA	35.1	138.75	85				1																									
1268	1899	11	24	18	43		4	1		7.1	JAPAN		SEIKAIDO	31.9	132	85	.3		-1.7	-1																					1				
1269	1899	11	25	18	55		4	1		6.9	JAPAN		SEIKAIDO	32.7	132.3	85			-1	-2																									
1270	1899	12	25	12	25		1	9		6.4	USA	CA	S. CALIFORNIA	33.8	-118.5	88				.5																									
5459	1900	1	10				1	1			INDONESIA		GALELA, HALMAHERA ISLAND	1.82	127.85	83				0																									
2812	1900	8	11	4	40		4	3			USA	AK	LITUYA BAY, AK	58.6	-137.5	87						5	1						1					5	1						1				
1272	1900	9	10	21	30		4	1		6.8	PAPUA NEW GUINEA		BISMARCK SEA	-4	152	82																									1				1
1274	1900	9	17	21	45		3	1			PAPUA NEW GUINEA		RABAUL HARBOR	-5	148	82	3																												
1275	1900	10	7	21	4		3	1		7.8	INDONESIA		BISMARCK SEA	-4	140	83			1	1.5		5	1						1	1	1			5	1						1	1	1		
1276	1900	10	29	9	11		3	1	25	8.4	VENEZUELA		MANCUTO	11	-66	74	10																												
1277	1901	3	3	7	45		3	3		6.7	USA	CA	MONTEREY BAY, N. CALIFORNIA	36	-120.5	88																													
3725	1901	3	31	7	12		1	1		7.2	BULGARIA		BLACK SEA	43.4	28.5	40	3																	4	1			50	1		3	1200	4		
1278	1901	6	15				4	1	33	6	JAPAN		IWATE, JAPAN	39	143	85																													
1279	1901	6	24				2	1	33	7.5	JAPAN		RYUKYU ISLANDS	28	130.3	85	.2		-2.3	-1.5																									
1281	1901	8	9	9	23	30	4	1	33	7.2	JAPAN		OFF NORTHEAST COAST HONSHU	40.5	142.5	85	.6		0	-.5																					2				
1280	1901	8	9	13	1		4	1	33	7.9	NEW CALEDONIA		LOYALTY ISLANDS	-22	170	82	1.2		-.7				1						2						1						2				
1282	1901	8	9	18	33	45	4	1	33	7.4	JAPAN		OFF NORTHEAST COAST HONSHU	40.6	142.3	85	.25		-1	-1														18	1						2	8	1		
1283	1901	8	9	20	0		4	1	33	6.3	JAPAN		OFF NORTHEAST COAST HONSHU	40.5	142.5	85	.02		-1																										
1284	1901	9	10	0	30		2	1		7	PHILIPPINES		E. LUZON ISLAND	14	121.6	84				0																					2				2
5162	1901	10	8	2	16		3	1		7	NICARAGUA		NICARAGUA	11	-86.5	88	1.5																								1				
1286	1901	12	31	9	2	30	1	1	25	7.1	USA	AK	FOX ISLANDS, ALEUTIAN ISLANDS, AK	51.45	-171.02	87																													
5062	1902	1	18	23	23		1	2		6.3	GUATEMALA		OCOSA	14.71	-91.59	88																									1		1		
1287	1902	2	26				3	1		7	EL SALVADOR		EL SALVADOR-GUATEMALA	13.5	-89.5	88	5		2.3	2		185	3	100	2				3					185	3			100	2		3				
5063	1902	4	19	2	23	30	0	1	33	7.5	GUATEMALA		OCOS	14	-91	88																		2000	4						3				
2881	1902	5	5				4	7			MARTINIQUE (FRENCH TERRITORY)		MOUNT PELEE	14.82	-61.17	74	5																	23	1										
2873	1902	5	7				4	6			SAINT VINCENT AND THE GRENADINES		SOUFRIERE VOLCANO	13.33	-61.18	74	1																	1680	4						3				
1288	1902	5	8				2	6			MARTINIQUE (FRENCH TERRITORY)		MOUNT PELEE	14.82	-61.17	74																		28000	4										
2433	1902	5	20				2	6			MARTINIQUE (FRENCH TERRITORY)		MOUNT PELEE	14.82	-61.17	74													1		1														
1289	1902	7	5	14	56	30	3	1		6.6	GREECE		AEGEAN SEA	40.75	23.25	50				2																									
5082	1902	8	16	8	11	36	1	1			MEXICO		MEXICO	24.6	-107.9	88																													
1290	1902	8	21	11	17		1	1		7.3	PHILIPPINES		ILLANA BAY, CELEBES SEA	7.5	123.5	84				2															3						3		3		
1291	1902	8	30				4	6			MARTINIQUE (FRENCH TERRITORY)		MOUNT PELEE	14.82	-61.17	74	1																	1000	3										
5102	1902	9	27				1	2			GUATEMALA		OCOS	14	-91	88													1												1				
2772	1903	2	10	2	28		1	1			USA TERRITORY	GU	GUAM, MARIANA ISLANDS	14	143.3	81	.15			2																					1				1
1294	1903	3	30				2	1	33	6.5	INDONESIA		BANDA SEA	-3	127.5	83	1		-.5	0																									
3410	1903	5	13				1	1			ITALY		CALABRIAN ARC	38.1	13.4	50				2																									
1296	1903	7	16				1	1			MEXICO		S. MEXICO	16.7	-99.2	88																													
1297	1903	8					2	6			USA	AK	COOK INLET, AK			87																													
1298	1903	9	7				1	1			TAIWAN		TAIWAN			84				0																									
1299	1903	9	26				2	1			CHILE		N. CHILE	-20.2	-70.15	89																													
1301	1903	10	6	6	30		-1	9			USA	HI	HAWAII			80																													
1302	1903	10	8				-1	9			USA	HI	HAWAII			80																													
1304	1903	11	17				1	9			USA	HI	HAWAII			80																													
1305	1903	11	24				-1	9			USA	HI	HAWAII			80																													
1306	1903	11	29				-1	9			USA	HI	HAWAII			80	15.7		3.9	3																									
1307	1903	12	7	14	25		3	1		6.5	CHILE		N. CHILE	-28.5	-71	89																			1						2		2		
1308	1904	1	20	14	52	6	1	1	33	7.9	COLOMBIA		OFF THE COAST PANAMA-COLOMBIA	7	-79	89																													
1309	1904	2	2				2	0			INDONESIA		CELEBES SEA	1.5	120.8	83				.5																									
1310	1904	3	30				-1	9			USA	WA	WASHINGTON-OREGON			88				.5																									
1312	1904	6	25	14	45	36	4	1	30	8.3	RUSSIA		KAMCHATKA PENINSULA, RUSSIA	52	159	86			1	2																									
1313	1904	6	25	21	0	36	3	1		8.1	RUSSIA		KAMCHATKA PENINSULA, RUSSIA	52	159	86			1																										
1315	1904	7	5				1	1			INDONESIA		BANDA SEA	-3.6	128.7	83				1									1												1				
1317	1904	8	8	22	50	0	1	1	33	7.2	NEW ZEALAND		CAPE TURNAGAIN	-40.4	176.4	81																													
5544	1904	8	25	10	0		1	2			NEW ZEALAND			-39.12	177.2	81																													
1318	1904	9	7				1	1			INDONESIA		S. JAVA	-7.7	109	60				0																									
1319	1904	12	30				-1	0			COOK ISLANDS		COOK IS.			81																													
3542	1905	1	16				0	8			NORWAY		LOEN	61.866	6.85	73	40.5					61	2						2		2			61	2						2		2		
3499	1905	1	20	2	32	30	2	1		6.3	GREECE		AEGEAN SEA	39.66	22.83	50																													
5496	1905	1					1	1			MEXICO		REVILLAGIGEDO ISLANDS	19	-113	88																													
4844	1905	3	19				2	1			VANUATU		MALO PASS			82	.6																												
1322	1905	4	4	0	50		0	1	25	7.8	INDIA		KANGRA, INDIA	33	76	60																		19000	4						4				
1323	1905	7	4				4	8			USA	AK	DISENCHANTMENT BAY, AK	60	-139.58	87	33.53		5.1	2.5																									
1324	1905	7	6	16	21	0	3	1	33	7	JAPAN		JAPAN:  OFF FUKUSHIMA	37.4	142.6	85			-1			57	2											57	2										
1326	1905	8	4				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81				.5																					3		3		
3411	1905	9	8	1	43		4	1		7.9	ITALY		CALABRIAN ARC	39	16	50	1.3			4																									
2296	1905	10	4	22	29		4	1		5.1	RUSSIA		BLACK SEA	44.5	37.5	40	.5		-1	2																									
3727	1905	10	21	11	2			1		6.2	GEORGIA		CAUCASUS	42	39.5	40																													
4842	1905	11	22				2	1			VANUATU		PORT VILA	-17.7	168.3	82																													
4843	1905	11	24				2	1			VANUATU		PORT VILA	-17.7	168.3	82																													
1328	1905	12	8	8	22		1	1		6.5	PHILIPPINES		W. LUZON ISLAND	11	123.5	84			-.5	0																					1				
3412	1905						2	1			TUNISIA		BALEARIC SEA	37.3	9.9	50				3																									
3604	1905						1	0			TOGO		GOLD COAST			77																													
1331	1906	1	31	15	35	51	4	1	25	8.8	ECUADOR		OFF COAST	1	-81.5	89	5		1	3		1000	3						3		3			1000	3						3		3		
2627	1906	1	31				4	1			VENEZUELA		CARACAS	10.5	-66.916	74																													
1332	1906	2	7				4	1			ECUADOR		COLOMBIA-ECUADOR	1	-81	89	.25			.5																									
2892	1906	2	21				3	1			COLOMBIA		BUENAVENTURA	3.9	-77.033	89																													
3413	1906	4	4				2	6			ITALY		TYRRHENIAN SEA	40.821	14.426	50	.4			3																									
1333	1906	4	18	13	12	0	4	3	33	7.9	USA	CA	N. CALIFORNIA	37.7	-122.5	88	.1		-3.3	-4																									
1334	1906	5	7				2	1	33		CHILE		N. CHILE	-18.5	-70.3	89																													
5465	1906	5	25				2	0			EL SALVADOR		OFF COAST	13.25	-88.83	88																													
1336	1906	7	1				1	0			MARSHALL ISLANDS, REP. OF		MARSHALL ISLANDS			81																													
1337	1906	8	7				2	0			USA	CA	S. CALIFORNIA	33.9	-117	88	.02																												
1339	1906	8	17	0	40		3	1	25	8.2	CHILE		CENTRAL CHILE	-33	-72	89	3.5		1.8	2									1					4000	4					100	4				
1340	1906	9	14	16	4	18	4	1	33	8	PAPUA NEW GUINEA		SOLOMON SEA	-7	149	82	1.5		.6	1.5									1						2						3		3		
1344	1906	10	2	1	50		3	1		7.2	PAPUA NEW GUINEA		BISMARCK SEA	-4	149	82	1.2			1.5																					1				
1345	1906	11	6				-1	9			USA	WA	WASHINGTON-OREGON			88																													
3559	1906	11	20	21	0		3	1		5	GHANA		GOLD COAST	6.5	.3	77																									2		3		
1346	1906	11	28				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81																													
1347	1906	12	26	6	53	28	2	1	33	7.9	PERU		S. PERU	-18	-71	89																													
2379	1906						1	2			VENEZUELA		MAIQUETIA	10.6	-66.95	74																													
1349	1907	1	4	5	19	12	4	1	50	7.6	INDONESIA		NW. SUMATRA	2	94.5	60			1.5	2		400	3						3		3			400	3						3		3		
1350	1907	1	14	21	36		4	1		6.5	JAMAICA		JAMAICA	18	-76.8	74	2.5		1.3										2					1000	3					30	4		3		
1351	1907	3	29	20	46	30	1	1	500	7.3	INDONESIA		KARAKELONG, TALAUD ISLANDS	3	122	83	4		2	2																									
1353	1907	4	14	6	8	6	3	1		8.1	MEXICO		S. MEXICO	17	-100	88	2		1															8	1						2		3		
1356	1907	6	8				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81																													
1357	1907	6	19				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81																													
1358	1907	6	27				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81																													
1359	1907	7	9				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81																													
1360	1907	7	25				2	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81																													
1365	1907	7					2	6			TONGA		TONGA ISLANDS	-21.38	-175.65	81				.5																									
1362	1907	9	24	12	58	0	3	8	33	5.5	USA	AK	SKAGWAY, AK	59.5	-135.5	87	.7		-.5	0																					1				
1363	1907	10	6				4	6			SAMOA		MATAVANU VOLCANO	-13.612	-172.525	81	3.6												1	1	1										3		3		
3415	1907	10	23	20	28	19	4	1		5.9	ITALY		IONIAN CALABRIA	38.133	16.017	50				3														158	3						2		3		
1364	1907	12	15	17	35		2	1	33	7.4	PAPUA NEW GUINEA		BISMARCK SEA	-3.1	142.5	82													2		3										2		3		
1367	1908	2	6				3	1	130	7.5	INDONESIA		SW. SUMATRA	-2	100	60	1.4		.5	1																									
1368	1908	2	14	11	25	0	1	3		6	USA	AK	PRINCE WILLIAM SOUND, AK	61	-146.2	87																									1				
1369	1908	3	23	12	20		-1	1		6.6	INDONESIA		TIMOR SEA	-10	129	60																									1				
4309	1908	5	31				0	1		6.5	UKRAINE		CRIMEA	44	34	40																													
3531	1908	9	11				2	0			CANADA	QC	GULF OF SAINT LAWRENCE	48.958	-62.133	75																													
1371	1908	9	21	6	31		4	1	33	6.8	USA	HI	HAWAII	19	-155	80	1.2		-.5	0																									
1372	1908	12	12	12	8		2	1	33	8.2	PERU		S. PERU	-14	-78	89																													
1373	1908	12	28	4	20	27	4	3	10	7.1	ITALY		MESSINA STRAIT, IONIAN SEA	38.183	15.683	50	13			5		220	3						4		4			82220	4					116	4		4		
4502	1909	3	7				2	1			COOK ISLANDS		RAROTONGA	-21	-159	81	3												2												2				
1374	1909	3	12	23	19		4	1		6.7	JAPAN		OFF BOSO PENINSULA	34.5	141.5	85			-1																						1				
1375	1909	3	13	14	29		4	1	80	7.5	JAPAN		OFF BOSO PENINSULA	34.5	141.5	85			-1																						1				
1376	1909	6	3	18	40	48	2	1	40	7.6	INDONESIA		SUMATRA	-2	101	60			.5	1															3						3		3		
1379	1909	6	8	5	46	30	0	1		7.6	CHILE		N. CHILE	-26.5	-70.5	89																													
5122	1909	7	8				1	1			VANUATU		VANUATU ISLANDS	-15.5	167.2	82																									2		3		
1382	1909	7	30	10	51	54	2	1		7.4	MEXICO		S. MEXICO	16.8	-99.8	88	9		3.2																										
1384	1909	8	14	6	30	0	4	1	33	6.9	JAPAN		ANEGAWA, JAPAN	35.4	136.3	85	1.8		1															41	1						3	976	3		
2370	1909	9	20				-1	9			USA	LA	LOUISIANA: GRAND ISLE			75						300	3											300	3										
1386	1909	12	9	23	28		4	1	100	8	USA TERRITORY	GU	GUAM, MARIANA ISLANDS	12.5	145	81																									2				
1387	1910	2	25				1	1		6	PAPUA NEW GUINEA		MATUPI HARBOR	-4.25	152.25	82																													
5543	1910	3	20				0	8			NEW ZEALAND		LAKE TAUPO, NORTH ISLAND			81																													
4942	1910	11	5				1	0			USA	AK	NOME, AK	64	-165	87													2		2										2		2		
4922	1910	11	10	12	19	54	3	1	90	7.2	VANUATU		VANUATU ISLANDS	-14	166.5	82																									2				
1389	1910	11	21	12	45		-1	9			USA	CA	SAN FRANCISCO, CA			88	.3			-1.5																									
1390	1910	12	18	2	42		2	1		6.7	INDONESIA		SULAWESI	4	127	83			-1.3	-1																					1				1
1391	1910	12	30				1	1	60	6.2	PHILIPPINES		SULU SEA	9	125.5	84				1																					1				
1392	1911	1	30				4	6			PHILIPPINES		TAAL, LUZON ISLAND	14.002	120.993	84	3					50	1						1		1			1335	4			199	3		3	543	3		1
3500	1911	2	18	21	35	12	3	1		6.7	ALBANIA		OCHRIDA LAKE	40.9	20.8	50																													
1393	1911	5	8				2	1			PAPUA NEW GUINEA		BLANCHE BAY, BISMARCK SEA	-4.25	152.25	82				0																									
1395	1911	5	11				2	0		6.6	TOGO		GOLD COAST	6.1	1.2	77	5												1												1				
1396	1911	6	15	14	26		4	1	160	8	JAPAN		RYUKYU ISLANDS	28	130	85			1	1.5									2		3			12	1						3	422	3		
1397	1911	7	12	4	7	36	1	1	50	7.8	PHILIPPINES		PHILIPPINE TRENCH	9	126	84																									3				3
1398	1911	9	15	13	10		2	1		7.3	CHILE		N. CHILE	-20	-72	89																													
1399	1911	9	22	5	1	24	1	3	60	6.9	USA	AK	PRINCE WILLIAM SOUND, AK	60.5	-149	87				.5																					1				
1400	1911	11	3				3	6			TRINIDAD AND TOBAGO		TRINIDAD	10.5	-61.2	74																													
3501	1912	1	24	16	22	51	2	1		6.8	GREECE		IONIAN SEA	38.12	20.67	50																													
2361	1912	4	13				0	8			USA	OH	SOUTHERN SHORE, LAKE ERIE (OHIO)	42	-81	75													1												1				
1401	1912	6	8	4	42		3	1	100	6.6	JAPAN		SANRIKU	40.5	142	85	.5		-1	0																					1				
2325	1912	8	9	1	29		2	1	60	7.8	TURKEY		MARMARA SEA	40.5	27.2	50																													
1403	1912	10	31	17	24		1	1	33	6.9	MICRONESIA, FED. STATES OF		CAROLINE ISLANDS	7	138	81				0																									
1404	1912	12	6				1	1			MICRONESIA, FED. STATES OF		YAP ISLANDS, CAROLINE ISLANDS			81				.5																									
1405	1913	2	22	1	6		3	1	33	6.8	NEW ZEALAND		TASMAN SEA	-41.8	171.5	81	1.5		.6	.5																					1		1		
1407	1913	3	14	8	45	4.3	-1	4	15	7.8	INDONESIA		SANGIHE ISLAND	5.354	126.121	83																		138	3						2		3		
2454	1913	6	9				2	8			USA	NJ	LONGPORT, NJ	39.314	-74.525	75								1	1			.01	1												1				
1408	1913	7	28	6	40		1	1	30	7	PERU		S. PERU	-16.6	-73.3	89																													
1409	1913	8	6	22	14	24	2	1	33	7.9	PERU		S. PERU	-17	-74	89																			2						3		3		3
1410	1913	10	11	4	6	3	4	1	33	7	PAPUA NEW GUINEA		PAPUA NEW GUINEA	-7	148	82	.1		-3.3	1																									
5474	1913	12	11				2	0			USA	CA	SANTA BARBARA, S. CALIFORNIA			88	4.5																												
1412	1914	1	12	9	28		4	4	33	7.1	JAPAN		SEIKAIDO	31.58	130.67	85	3		1.6	-1									1					63	2			112	3	19	3	2268	4		
1411	1914	1	12				2	1	33		PERU		CENTRAL PERU	-12	-76.6	89	1			1.5																					1				
3416	1914	1	15	4	28		1	1			ITALY		LIGURIAN SEA	43.5	10.2	50				2																									
1413	1914	2	26	4	58	12	1	1	130	7.2	PERU		S. PERU	-17	-72	89																													
1415	1914	3	14				-1	0			INDONESIA		INDONESIA			83																													
1416	1914	5	26	14	22	47.7	4	1	15	8.1	INDONESIA		NW. IRIAN JAYA	-1.829	136.943	83	.1		1.5	2			1												3						2		3		
3532	1914	5					2	0			CANADA	NS	GULF OF SAINT LAWRENCE	48.958	-62.133	75																													
1418	1914	6	25	19	7	25.9	2	1	35	7.6	INDONESIA		INDONESIA	-3.924	101.82	60																		20	1			20	1		1		1		
5542	1914	10	6	19	15		4	3			NEW ZEALAND		TOLAGA BAY, NORTH ISLAND	-37.8	178.2	81																		1	1						2				
1420	1914	11	27	14	39	46	1	3	30	6.3	GREECE		IONIAN SEA	38.8	20.6	50	3		1.7	4														14	1						3		3		2
1421	1914	12	3				2	0			INDONESIA		AMBON ISLAND	-3.7	128.2	83				0																									
3502	1915	1	27	1	9	56	2	1		6.6	GREECE		IONIAN SEA	38.4	20.6	50																													
1422	1915	2	11				1	9			USA TERRITORY	AS	MANUA ISLANDS, AMERICAN SAMOA	-14.21	-169.58	81	2.4					3	1											3	1										
1423	1915	5	23				1	1			INDONESIA		KAIMANA	-3.644	133.695	83	.5			0																									
1427	1915	8	7	15	4	3	3	1	14	6.7	GREECE		IONIAN SEA	38.5	20.7	50	1.5			3																					3		3		2
1425	1915	8					1	1			PAPUA NEW GUINEA		HUON GULF, SOLOMON SEA			82																													
1428	1915	9	7	1	20	48	1	1	80	7.9	GUATEMALA		GUATEMALA-NICARAGUA	14	-89	88				.5																									
1429	1915	11	1	7	23	43	4	1	60	7.8	JAPAN		SANRIKU	38.3	142.9	85	1			.5																					1				
1430	1915	11	6				2	1		6	INDONESIA		NW. IRIAN JAYA	-1	136	83																													
1431	1915	11	18	20	19	18	3	1	33	6.4	PHILIPPINES		W. LUZON ISLAND	18	119.5	84				.5																					1				1
1432	1916	1	1	13	20	49.3	3	1	35	7.9	PAPUA NEW GUINEA		BISMARCK SEA	-4.739	152.548	82	4.5		1.5	2									1												1		1		1
1433	1916	1	31				1	1			COSTA RICA		COSTA RICA-PANAMA			88			2.2																										
1434	1916	4	26	2	21	52	4	1	25	7	PANAMA		BOCAS DEL TORO	9.6	-82	74	1.3												1											.025	1				
3147	1916	7	3	23	21	41	4	1		5.1	ITALY		STROMBOLI ISLAND	38.817	15.233	50	10			4																					1				1
3811	1916	8	16	7	6		4	1		5.9	ITALY		CENTRAL ADRIATIC	43.967	12.667	50				2																									
2380	1916	11	12				2	1	0		VENEZUELA		OCUMARE DE LA COSTA DE ORO	10.46	-67.77	74																													
1438	1917	1	9				1	0			INDONESIA		CELEBES SEA	1.57	122.72	83				2																									
1439	1917	1	20	23	11	34	3	1	33	6.6	INDONESIA		BALI SEA	-7	116	60	2		1															1500	4						2		2		
1440	1917	1	25				4	1		6.5	CHINA		SOUTH CHINA SEA	24.47	118.08	84			1	1									1												1				
1441	1917	1	30	2	45	36	2	1	40	7.8	RUSSIA		KAMCHATKA	56.5	163	86																													
1442	1917	1	31	3	39	55	3	1	33	6.4	PHILIPPINES		CELEBES SEA	6	125	84	1.5		.6															7	1			2	1		2		2		
1437	1917	1					1	0			INDONESIA		LINGA ARCHIPELAGO	-.25	104.5	83				1.5																									
1443	1917	3	16				2	0			INDONESIA		JAVA	-3.7	116.6	83	1.5			1									2												2				
1444	1917	5	1	18	27		4	1	60	8	NEW ZEALAND		KERMADEC ISLANDS	-29.2	-177	81	.3		3.6	3																									
1445	1917	5	6	12	19		4	1	33	5.8	TAIWAN		TAIWAN	23.2	121.6	84	.5		-1	-.5																									
1446	1917	6	26	5	49	42	4	1	25	8.3	SAMOA		SAMOA ISLANDS	-15.5	-173	81	12.2		3.6	3									2												2				
1448	1917	7	29	21	52	6	2	1		7.7	PAPUA NEW GUINEA		BISMARCK SEA	-3	143.5	82	.9			1																									
1449	1917	8	23				2	0			INDONESIA		BANDA SEA	-3.6	128.7	83				.5																									
1450	1917	11	16	3	19	28	2	1	60	7.5	NEW ZEALAND		KERMADEC ISLANDS	-29	-177.5	81	2.5		1.3	1																									
2792	1917	12	6	13	4		4	10			CANADA	NS	HALIFAX, NOVA SCOTIA	44.633	-63.583	75	7						2											2000	4			9000	4						
1451	1918	2	13	6	7	13	4	3	33	7.5	CHINA		GUANGDONG PROVINCE	23.5	117.2	84			1	-1														2000	4				4		4		4		
1453	1918	5	20	17	55	10	2	1	80	7.9	CHILE		N. CHILE	-28.5	-71.5	89																													
1454	1918	7	18	2	30		1	6			INDONESIA		SULAWESI	3.138	125.491	83	.08			0																									
3579	1918	8	14				0	1		5.5	CHINA		YUNNAN PROVINCE	26.9	103	84																									1				
1456	1918	8	15	12	18	12	4	1	33	8.3	PHILIPPINES		CELEBES SEA	5.5	123	84	7.2		2.8	2.5		6	1						2					52	2						3				
1457	1918	9	7	17	16		4	1	33	8.2	RUSSIA		S. KURIL ISLANDS	45.5	151.5	86	12		3.6	3		23	1	7	1				2		2	19	1	23	1			7	1		2		2	19	1
1458	1918	10	11	14	14	30	4	1		7.3	USA TERRITORY	PR	PUERTO RICO: MONA PASSAGE	18.5	-67.5	74	6.1		2.6			140	3					4	2					140	3					29	4				
1459	1918	10	25	3	43		3	1			USA TERRITORY	PR	PUERTO RICO	18.5	-67.5	74																													
1460	1918	11	8	4	38		4	1	33	7.8	RUSSIA		S. KURIL ISLANDS	44.5	151.5	86	.5		1	2																									
1461	1918	12	4	11	47	48	4	1	33	7.8	CHILE		N. CHILE	-26	-71	89	5		2.3	2.5									1						1						3		3		
